,word,second_category,first_category,B2B_ind,cut_phrase1,rlist1,f_result,hit_words,cross_set,plist,source,f_success_ind,cut_phrase,rlist,result,second_hit_words,second_cross_set,second_plist,source_2,success_ind,result_ind,amb_success_ind
0,聚苯板,建材服务,能源材料,B2B,['聚苯板'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['聚苯板'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
1,二极管,电子元器件,工业制造,B2B,['二极管'],"['工业制造', ['二极管'], 0, 0, 0, '唯一dict']",工业制造,['二极管'],0,0,唯一dict,1,['二极管'],"['仪器仪表', ['二极管'], 0, 0, '唯一dict']",仪器仪表,['二极管'],0,0,唯一dict,0,B2B,1
2,透水混凝土,建材服务,能源材料,B2B,"['透水', '混凝土']","['能源材料', ['透水', '混凝土'], 0, 0, '唯一筛选']",能源材料,"['透水', '混凝土']",0,0,唯一筛选,1,"['透水', '混凝土']","['建材服务', ['透水', '混凝土'], 0, 0, '唯一dict']",建材服务,"['透水', '混凝土']",0,0,唯一dict,1,B2B,1
3,制砂机,工业设备,工业制造,B2B,['制砂机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['制砂机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
4,气泡膜,建材服务,能源材料,B2B,['气泡膜'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['气泡膜'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
5,有机肥设备,工业设备,工业制造,B2B,"['有机肥', '设备']","['工业制造', ['设备'], ['能源材料', '工业制造'], [8.947368421052631e-07, 0.0014461052631578946], '交叉概率']",工业制造,['设备'],"['能源材料', '工业制造']","[8.947368421052631e-07, 0.0014461052631578946]",交叉概率,1,"['有机肥', '设备']","['仪器仪表', ['设备'], 0, 0, '唯一dict']",仪器仪表,['设备'],0,0,唯一dict,0,B2B,1
6,球墨铸铁管,冶金矿产,工业制造,B2B,"['球墨铸铁', '管']","['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,"['球墨铸铁', '管']","['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
7,钢卷尺,五金配件,工业制造,B2B,"['钢', '卷尺']","['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,"['钢', '卷尺']","['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
8,集装箱,建材服务,能源材料,B2B,['集装箱'],"['能源材料', ['集装箱'], 0, 0, 0, '唯一dict']",能源材料,['集装箱'],0,0,唯一dict,1,['集装箱'],"['建材服务', ['集装箱'], 0, 0, '唯一dict']",建材服务,['集装箱'],0,0,唯一dict,1,B2B,1
9,风管,工业设备,工业制造,B2B,['风管'],"['能源材料', ['风管'], 0, 0, 0, '唯一dict']",能源材料,['风管'],0,0,唯一dict,0,['风管'],"['建材服务', ['风管'], 0, 0, '唯一dict']",建材服务,['风管'],0,0,唯一dict,0,B2B,1
10,检测仪,仪器仪表,工业制造,B2B,['检测仪'],"['工业制造', ['检测仪'], 0, 0, 0, '唯一dict']",工业制造,['检测仪'],0,0,唯一dict,1,['检测仪'],"['仪器仪表', ['检测仪'], 0, 0, '唯一dict']",仪器仪表,['检测仪'],0,0,唯一dict,1,B2B,1
11,电梯,工业设备,工业制造,B2B,['电梯'],"['能源材料', ['电梯'], 0, 0, 0, '唯一dict']",能源材料,['电梯'],0,0,唯一dict,0,['电梯'],"['建材服务', ['电梯'], 0, 0, '唯一dict']",建材服务,['电梯'],0,0,唯一dict,0,B2B,1
12,叶片,五金配件,工业制造,B2B,['叶片'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['叶片'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
13,树枝粉碎机,工业设备,工业制造,B2B,"['树枝', '粉碎机']","['工业制造', ['粉碎机'], 0, 0, 0, '唯一dict']",工业制造,['粉碎机'],0,0,唯一dict,1,"['树枝', '粉碎机']","['仪器仪表', ['粉碎机'], 0, 0, '唯一dict']",仪器仪表,['粉碎机'],0,0,唯一dict,0,B2B,1
14,粉末涂料,建材服务,能源材料,B2B,['粉末涂料'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['粉末涂料'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
15,挤塑板,建材服务,能源材料,B2B,['挤塑板'],"['能源材料', ['挤塑板'], 0, 0, 0, '唯一dict']",能源材料,['挤塑板'],0,0,唯一dict,1,['挤塑板'],"['橡塑涂料', ['挤塑板'], 0, 0, '唯一dict']",橡塑涂料,['挤塑板'],0,0,唯一dict,0,B2B,1
16,轻质抹灰石膏,建材服务,能源材料,B2B,"['轻质', '抹灰', '石膏']","['能源材料', ['轻质', '抹灰', '石膏'], ['能源材料', '能源材料', '能源材料'], 0, '唯一筛选']",能源材料,"['轻质', '抹灰', '石膏']","['能源材料', '能源材料', '能源材料']",0,唯一筛选,1,"['轻质', '抹灰', '石膏']","['建材服务', ['轻质', '抹灰', '石膏'], 0, 0, '唯一dict']",建材服务,"['轻质', '抹灰', '石膏']",0,0,唯一dict,1,B2B,1
17,无动力风机,工业设备,工业制造,B2B,"['无动力', '风机']","['工业制造', ['风机'], ['能源材料', '工业制造'], [8.947368421052631e-07, 0.0005037894736842105], '交叉概率']",工业制造,['风机'],"['能源材料', '工业制造']","[8.947368421052631e-07, 0.0005037894736842105]",交叉概率,1,"['无动力', '风机']","['仪器仪表', ['风机'], 0, 0, '唯一dict']",仪器仪表,['风机'],0,0,唯一dict,0,B2B,1
18,锅炉,工业设备,工业制造,B2B,['锅炉'],"['工业制造', ['锅炉'], ['能源材料', '工业制造'], [6.842105263157894e-07, 0.0006681578947368421], '交叉概率']",工业制造,['锅炉'],"['能源材料', '工业制造']","[6.842105263157894e-07, 0.0006681578947368421]",交叉概率,1,['锅炉'],"['工业设备', ['锅炉'], 0, 0, '唯一dict']",工业设备,['锅炉'],0,0,唯一dict,1,B2B,1
19,服务器,仪器仪表,工业制造,B2B,['服务器'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['服务器'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
20,活性炭,冶金矿产,工业制造,B2B,['活性炭'],"['工业制造', ['活性炭'], 0, 0, 0, '唯一dict']",工业制造,['活性炭'],0,0,唯一dict,1,['活性炭'],"['仪器仪表', ['活性炭'], 0, 0, '唯一dict']",仪器仪表,['活性炭'],0,0,唯一dict,0,B2B,1
21,强夯,工业设备,工业制造,B2B,['强夯'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['强夯'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
22,管件,五金配件,工业制造,B2B,['管件'],"['工业制造', ['管件'], ['工业制造', '能源材料'], [3.021052631578947e-05, 2.1052631578947366e-07], '交叉概率']",工业制造,['管件'],"['工业制造', '能源材料']","[3.021052631578947e-05, 2.1052631578947366e-07]",交叉概率,1,['管件'],"['仪器仪表', ['管件'], 0, 0, '唯一dict']",仪器仪表,['管件'],0,0,唯一dict,0,B2B,1
23,保温袋,建材服务,能源材料,B2B,"['保温', '袋']","['能源材料', ['保温'], 0, 0, 0, '唯一dict']",能源材料,['保温'],0,0,唯一dict,1,"['保温', '袋']","['建材服务', ['保温'], 0, 0, '唯一dict']",建材服务,['保温'],0,0,唯一dict,1,B2B,1
24,装载机,工业设备,工业制造,B2B,['装载机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['装载机'],"['工程车', '人工', 0, 0, '人工2级规则']",工程车,人工,0,0,人工2级规则,0,本地服务,0
25,隔断,建材服务,能源材料,B2B,['隔断'],"['能源材料', ['隔断'], 0, 0, 0, '唯一dict']",能源材料,['隔断'],0,0,唯一dict,1,['隔断'],"['建材服务', ['隔断'], 0, 0, '唯一dict']",建材服务,['隔断'],0,0,唯一dict,1,B2B,1
26,海鲜蒸柜,工业设备,工业制造,B2B,"['海鲜', '蒸柜']","['能源材料', ['海鲜'], 0, 0, 0, '唯一dict']",能源材料,['海鲜'],0,0,唯一dict,0,"['海鲜', '蒸柜']","['建材服务', ['海鲜'], 0, 0, '唯一dict']",建材服务,['海鲜'],0,0,唯一dict,0,B2B,1
27,岗亭,建材服务,能源材料,B2B,['岗亭'],"['能源材料', ['岗亭'], 0, 0, 0, '唯一dict']",能源材料,['岗亭'],0,0,唯一dict,1,['岗亭'],"['建材服务', ['岗亭'], 0, 0, '唯一dict']",建材服务,['岗亭'],0,0,唯一dict,1,B2B,1
28,珍珠岩,冶金矿产,工业制造,B2B,['珍珠岩'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['珍珠岩'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
29,网片,五金配件,工业制造,B2B,['网片'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['网片'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
30,地磅,工业设备,工业制造,B2B,['地磅'],"['工业制造', ['地磅'], 0, 0, 0, '唯一dict']",工业制造,['地磅'],0,0,唯一dict,1,['地磅'],"['仪器仪表', ['地磅'], 0, 0, '唯一dict']",仪器仪表,['地磅'],0,0,唯一dict,0,B2B,1
31,玻璃隔断,建材服务,能源材料,B2B,['玻璃隔断'],"['能源材料', ['玻璃隔断'], 0, 0, 0, '唯一dict']",能源材料,['玻璃隔断'],0,0,唯一dict,1,['玻璃隔断'],"['建材服务', ['玻璃隔断'], 0, 0, '唯一dict']",建材服务,['玻璃隔断'],0,0,唯一dict,1,B2B,1
32,灌装机,工业设备,工业制造,B2B,['灌装机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['灌装机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
33,彩灯,建材服务,能源材料,B2B,['彩灯'],"['能源材料', ['彩灯'], 0, 0, 0, '唯一dict']",能源材料,['彩灯'],0,0,唯一dict,1,['彩灯'],"['建材服务', ['彩灯'], 0, 0, '唯一dict']",建材服务,['彩灯'],0,0,唯一dict,1,B2B,1
34,快速卷帘门,建材服务,能源材料,B2B,['快速卷帘门'],"['能源材料', ['快速卷帘门'], 0, 0, 0, '唯一dict']",能源材料,['快速卷帘门'],0,0,唯一dict,1,['快速卷帘门'],"['建材服务', ['快速卷帘门'], 0, 0, '唯一dict']",建材服务,['快速卷帘门'],0,0,唯一dict,1,B2B,1
35,蓄电池,电子元器件,工业制造,B2B,['蓄电池'],"['工业制造', ['蓄电池'], 0, 0, 0, '唯一dict']",工业制造,['蓄电池'],0,0,唯一dict,1,['蓄电池'],"['仪器仪表', ['蓄电池'], 0, 0, '唯一dict']",仪器仪表,['蓄电池'],0,0,唯一dict,0,B2B,1
36,制丸机,工业设备,工业制造,B2B,['制丸机'],"['工业制造', ['制丸机'], 0, 0, 0, '唯一dict']",工业制造,['制丸机'],0,0,唯一dict,1,['制丸机'],"['仪器仪表', ['制丸机'], 0, 0, '唯一dict']",仪器仪表,['制丸机'],0,0,唯一dict,0,B2B,1
37,轮毂修复设备,工业设备,工业制造,B2B,"['轮毂', '修复', '设备']","['能源材料', ['修复'], 0, 0, 0, '唯一dict']",能源材料,['修复'],0,0,唯一dict,0,"['轮毂', '修复', '设备']","['仪器仪表', ['修复', '设备'], 0, 0, '唯一dict']",仪器仪表,"['修复', '设备']",0,0,唯一dict,0,B2B,1
38,开门机,工业设备,工业制造,B2B,['开门机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['开门机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
39,贴片,五金配件,工业制造,B2B,['贴片'],"['工业制造', ['贴片'], 0, 0, 0, '唯一dict']",工业制造,['贴片'],0,0,唯一dict,1,['贴片'],"['仪器仪表', ['贴片'], 0, 0, '唯一dict']",仪器仪表,['贴片'],0,0,唯一dict,0,B2B,1
40,隔墙板,建材服务,能源材料,B2B,['隔墙板'],"['能源材料', ['隔墙板'], 0, 0, 0, '唯一dict']",能源材料,['隔墙板'],0,0,唯一dict,1,['隔墙板'],"['建材服务', ['隔墙板'], 0, 0, '唯一dict']",建材服务,['隔墙板'],0,0,唯一dict,1,B2B,1
41,发电机,工业设备,工业制造,B2B,['发电机'],"['工业制造', ['发电机'], 0, 0, 0, '唯一dict']",工业制造,['发电机'],0,0,唯一dict,1,['发电机'],"['仪器仪表', ['发电机'], 0, 0, '唯一dict']",仪器仪表,['发电机'],0,0,唯一dict,0,B2B,1
42,搅拌器,工业设备,工业制造,B2B,['搅拌器'],"['工业制造', ['搅拌器'], 0, 0, 0, '唯一dict']",工业制造,['搅拌器'],0,0,唯一dict,1,['搅拌器'],"['仪器仪表', ['搅拌器'], 0, 0, '唯一dict']",仪器仪表,['搅拌器'],0,0,唯一dict,0,B2B,1
43,地胶,建材服务,能源材料,B2B,['地胶'],"['能源材料', ['地胶'], 0, 0, 0, '唯一dict']",能源材料,['地胶'],0,0,唯一dict,1,['地胶'],"['建材服务', ['地胶'], 0, 0, '唯一dict']",建材服务,['地胶'],0,0,唯一dict,1,B2B,1
44,模型,建材服务,能源材料,B2B,['模型'],"['能源材料', ['模型'], 0, 0, 0, '唯一dict']",能源材料,['模型'],0,0,唯一dict,1,['模型'],"['建材服务', ['模型'], 0, 0, '唯一dict']",建材服务,['模型'],0,0,唯一dict,1,B2B,1
45,铝合金门窗,建材服务,能源材料,B2B,"['铝合金门', '窗']","['能源材料', ['铝合金门'], 0, 0, 0, '唯一dict']",能源材料,['铝合金门'],0,0,唯一dict,1,['铝合金门窗'],"['冶金矿产', ['铝合金门窗'], 0, 0, '唯一dict']",冶金矿产,['铝合金门窗'],0,0,唯一dict,0,B2B,1
46,彩钢,冶金矿产,工业制造,B2B,['彩钢'],"['能源材料', ['彩钢'], 0, 0, 0, '唯一dict']",能源材料,['彩钢'],0,0,唯一dict,0,['彩钢'],"['建材服务', ['彩钢'], 0, 0, '唯一dict']",建材服务,['彩钢'],0,0,唯一dict,0,B2B,1
47,路灯,建材服务,能源材料,B2B,['路灯'],"['工业制造', ['路灯'], ['能源材料', '工业制造'], [3.752631578947368e-05, 0.00010305263157894737], '交叉概率']",工业制造,['路灯'],"['能源材料', '工业制造']","[3.752631578947368e-05, 0.00010305263157894737]",交叉概率,0,['路灯'],"['化工能源', ['路灯'], 0, 0, '唯一dict']",化工能源,['路灯'],0,0,唯一dict,0,B2B,1
48,防腐木,建材服务,能源材料,B2B,['防腐木'],"['能源材料', ['防腐木'], 0, 0, 0, '唯一dict']",能源材料,['防腐木'],0,0,唯一dict,1,['防腐木'],"['建材服务', ['防腐木'], 0, 0, '唯一dict']",建材服务,['防腐木'],0,0,唯一dict,1,B2B,1
49,冲剪机,工业设备,工业制造,B2B,"['冲', '剪机']","['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,"['冲', '剪机']","['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
50,真空泵,工业设备,工业制造,B2B,['真空泵'],"['工业制造', ['真空泵'], 0, 0, 0, '唯一dict']",工业制造,['真空泵'],0,0,唯一dict,1,['真空泵'],"['五金配件', ['真空泵'], ['五金配件', '仪器仪表'], [0.0005116315789473684, 0.00043499999999999995], '交叉dict']",五金配件,['真空泵'],"['五金配件', '仪器仪表']","[0.0005116315789473684, 0.00043499999999999995]",交叉dict,0,B2B,1
51,点焊机,工业设备,工业制造,B2B,['点焊机'],"['工业制造', ['点焊机'], 0, 0, 0, '唯一dict']",工业制造,['点焊机'],0,0,唯一dict,1,['点焊机'],"['仪器仪表', ['点焊机'], 0, 0, '唯一dict']",仪器仪表,['点焊机'],0,0,唯一dict,0,B2B,1
52,防火门,建材服务,能源材料,B2B,['防火门'],"['能源材料', ['防火门'], 0, 0, 0, '唯一dict']",能源材料,['防火门'],0,0,唯一dict,1,['防火门'],"['建材服务', ['防火门'], 0, 0, '唯一dict']",建材服务,['防火门'],0,0,唯一dict,1,B2B,1
53,楼承板,建材服务,能源材料,B2B,['楼承板'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['楼承板'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
54,封罐机,工业设备,工业制造,B2B,['封罐机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['封罐机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
55,快速门,建材服务,能源材料,B2B,['快速门'],"['能源材料', ['快速门'], 0, 0, 0, '唯一dict']",能源材料,['快速门'],0,0,唯一dict,1,['快速门'],"['建材服务', ['快速门'], 0, 0, '唯一dict']",建材服务,['快速门'],0,0,唯一dict,1,B2B,1
56,幕布,建材服务,能源材料,B2B,['幕布'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['幕布'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
57,叉车,工业设备,工业制造,B2B,['叉车'],"['车辆', ['车'], 0, 0, '优先级匹配']",车辆,['车'],0,0,优先级匹配,0,['叉车'],"['工程车', '人工', 0, 0, '人工2级规则']",工程车,人工,0,0,人工2级规则,0,本地服务,0
58,混凝土输送泵,工业设备,工业制造,B2B,"['混凝土', '输送泵']","['能源材料', ['混凝土', '输送泵'], ['能源材料', '工业制造'], 0, '唯一筛选']",能源材料,"['混凝土', '输送泵']","['能源材料', '工业制造']",0,唯一筛选,0,"['混凝土', '输送泵']","['五金配件', ['混凝土', '输送泵'], 0, 0, '唯一dict']",五金配件,"['混凝土', '输送泵']",0,0,唯一dict,0,B2B,1
59,布袋,建材服务,能源材料,B2B,['布袋'],"['工业制造', ['布袋'], 0, 0, 0, '唯一dict']",工业制造,['布袋'],0,0,唯一dict,0,['布袋'],"['仪器仪表', ['布袋'], 0, 0, '唯一dict']",仪器仪表,['布袋'],0,0,唯一dict,0,B2B,1
60,旋转门,建材服务,能源材料,B2B,['旋转门'],"['能源材料', ['旋转门'], 0, 0, 0, '唯一dict']",能源材料,['旋转门'],0,0,唯一dict,1,['旋转门'],"['建材服务', ['旋转门'], 0, 0, '唯一dict']",建材服务,['旋转门'],0,0,唯一dict,1,B2B,1
61,通风管道,工业设备,工业制造,B2B,['通风管道'],"['能源材料', ['通风管道'], 0, 0, 0, '唯一dict']",能源材料,['通风管道'],0,0,唯一dict,0,['通风管道'],"['建材服务', ['通风管道'], 0, 0, '唯一dict']",建材服务,['通风管道'],0,0,唯一dict,0,B2B,1
62,铝单板,建材服务,能源材料,B2B,"['铝', '单板']","['能源材料', ['单板'], ['能源材料', '工业制造'], [0.0007184210526315789, 2.8105263157894733e-05], '交叉概率']",能源材料,['单板'],"['能源材料', '工业制造']","[0.0007184210526315789, 2.8105263157894733e-05]",交叉概率,1,['铝单板'],"['冶金矿产', ['铝单板'], 0, 0, '唯一dict']",冶金矿产,['铝单板'],0,0,唯一dict,0,B2B,1
63,纸箱机械,工业设备,工业制造,B2B,['纸箱机械'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['纸箱机械'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
64,洗箱机,工业设备,工业制造,B2B,['洗箱机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['洗箱机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
65,超声波探伤仪,仪器仪表,工业制造,B2B,['超声波探伤仪'],"['工业制造', ['超声波探伤仪'], 0, 0, 0, '唯一dict']",工业制造,['超声波探伤仪'],0,0,唯一dict,1,['超声波探伤仪'],"['仪器仪表', ['超声波探伤仪'], 0, 0, '唯一dict']",仪器仪表,['超声波探伤仪'],0,0,唯一dict,1,B2B,1
66,压花地坪,建材服务,能源材料,B2B,['压花地坪'],"['能源材料', ['压花地坪'], 0, 0, 0, '唯一dict']",能源材料,['压花地坪'],0,0,唯一dict,1,['压花地坪'],"['建材服务', ['压花地坪'], 0, 0, '唯一dict']",建材服务,['压花地坪'],0,0,唯一dict,1,B2B,1
67,负压风机,工业设备,工业制造,B2B,"['负压', '风机']","['工业制造', ['负压'], 0, 0, 0, '唯一dict']",工业制造,['负压'],0,0,唯一dict,1,"['负压', '风机']","['仪器仪表', ['风机'], 0, 0, '唯一dict']",仪器仪表,['风机'],0,0,唯一dict,0,B2B,1
68,纸护角,建材服务,能源材料,B2B,['纸护角'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['纸护角'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
69,模具,五金配件,工业制造,B2B,['模具'],"['能源材料', ['模具'], 0, 0, 0, '唯一dict']",能源材料,['模具'],0,0,唯一dict,0,['模具'],"['建材服务', ['模具'], 0, 0, '唯一dict']",建材服务,['模具'],0,0,唯一dict,0,B2B,1
70,电缆,线缆照明,工业制造,B2B,['电缆'],"['工业制造', ['电缆'], ['能源材料', '工业制造'], [2e-06, 0.0008175789473684209], '交叉概率']",工业制造,['电缆'],"['能源材料', '工业制造']","[2e-06, 0.0008175789473684209]",交叉概率,1,['电缆'],"['仪器仪表', ['电缆'], 0, 0, '唯一dict']",仪器仪表,['电缆'],0,0,唯一dict,0,B2B,1
71,路沿石,建材服务,能源材料,B2B,['路沿石'],"['能源材料', ['路沿石'], 0, 0, 0, '唯一dict']",能源材料,['路沿石'],0,0,唯一dict,1,['路沿石'],"['建材服务', ['路沿石'], 0, 0, '唯一dict']",建材服务,['路沿石'],0,0,唯一dict,1,B2B,1
72,不锈钢,冶金矿产,工业制造,B2B,['不锈钢'],"['能源材料', ['不锈钢'], 0, 0, 0, '唯一dict']",能源材料,['不锈钢'],0,0,唯一dict,0,['不锈钢'],"['建材服务', ['不锈钢'], 0, 0, '唯一dict']",建材服务,['不锈钢'],0,0,唯一dict,0,B2B,1
73,计量泵,仪器仪表,工业制造,B2B,['计量泵'],"['工业制造', ['计量泵'], 0, 0, 0, '唯一dict']",工业制造,['计量泵'],0,0,唯一dict,1,['计量泵'],"['五金配件', ['计量泵'], ['仪器仪表', '五金配件'], [0.00010884210526315789, 0.00012568421052631577], '交叉dict']",五金配件,['计量泵'],"['仪器仪表', '五金配件']","[0.00010884210526315789, 0.00012568421052631577]",交叉dict,0,B2B,1
74,榨油机,工业设备,工业制造,B2B,['榨油机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['榨油机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
75,饮水机,工业设备,工业制造,B2B,['饮水机'],"['能源材料', ['饮水机'], 0, 0, 0, '唯一dict']",能源材料,['饮水机'],0,0,唯一dict,0,['饮水机'],"['化工能源', ['饮水机'], 0, 0, '唯一dict']",化工能源,['饮水机'],0,0,唯一dict,0,B2B,1
76,冷库,工业设备,工业制造,B2B,['冷库'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['冷库'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
77,雕塑,建材服务,能源材料,B2B,['雕塑'],"['能源材料', ['雕塑'], 0, 0, 0, '唯一dict']",能源材料,['雕塑'],0,0,唯一dict,1,['雕塑'],"['建材服务', ['雕塑'], 0, 0, '唯一dict']",建材服务,['雕塑'],0,0,唯一dict,1,B2B,1
78,地坪,建材服务,能源材料,B2B,['地坪'],"['能源材料', ['地坪'], 0, 0, 0, '唯一dict']",能源材料,['地坪'],0,0,唯一dict,1,['地坪'],"['建材服务', ['地坪'], 0, 0, '唯一dict']",建材服务,['地坪'],0,0,唯一dict,1,B2B,1
79,开沟机,工业设备,工业制造,B2B,"['开沟', '机']","['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,"['开沟', '机']","['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
80,涡流探伤仪,仪器仪表,工业制造,B2B,['涡流探伤仪'],"['工业制造', ['涡流探伤仪'], 0, 0, 0, '唯一dict']",工业制造,['涡流探伤仪'],0,0,唯一dict,1,['涡流探伤仪'],"['仪器仪表', ['涡流探伤仪'], 0, 0, '唯一dict']",仪器仪表,['涡流探伤仪'],0,0,唯一dict,1,B2B,1
81,取样器,五金配件,工业制造,B2B,['取样器'],"['工业制造', ['取样器'], 0, 0, 0, '唯一dict']",工业制造,['取样器'],0,0,唯一dict,1,['取样器'],"['仪器仪表', ['取样器'], 0, 0, '唯一dict']",仪器仪表,['取样器'],0,0,唯一dict,0,B2B,1
82,分子泵,仪器仪表,工业制造,B2B,['分子泵'],"['工业制造', ['分子泵'], 0, 0, 0, '唯一dict']",工业制造,['分子泵'],0,0,唯一dict,1,"['分子', '泵']","['建材服务', ['分子'], 0, 0, '唯一dict']",建材服务,['分子'],0,0,唯一dict,0,B2B,1
83,铝箔袋,建材服务,能源材料,B2B,['铝箔袋'],"['工业制造', ['铝箔袋'], 0, 0, 0, '唯一dict']",工业制造,['铝箔袋'],0,0,唯一dict,0,['铝箔袋'],"['冶金矿产', ['铝箔袋'], 0, 0, '唯一dict']",冶金矿产,['铝箔袋'],0,0,唯一dict,0,B2B,1
84,工业甲醛,建材服务,能源材料,B2B,"['工业', '甲醛']","['能源材料', ['工业', '甲醛'], ['能源材料', '能源材料'], 0, '唯一筛选']",能源材料,"['工业', '甲醛']","['能源材料', '能源材料']",0,唯一筛选,1,"['工业', '甲醛']","['建材服务', ['工业', '甲醛'], 0, 0, '唯一dict']",建材服务,"['工业', '甲醛']",0,0,唯一dict,1,B2B,1
85,门窗,建材服务,能源材料,B2B,['门窗'],"['能源材料', ['门窗'], ['工业制造', '能源材料'], [3.7315789473684205e-05, 0.004055842105263158], '交叉概率']",能源材料,['门窗'],"['工业制造', '能源材料']","[3.7315789473684205e-05, 0.004055842105263158]",交叉概率,1,['门窗'],"['冶金矿产', ['门窗'], 0, 0, '唯一dict']",冶金矿产,['门窗'],0,0,唯一dict,0,B2B,1
86,混凝土,建材服务,能源材料,B2B,['混凝土'],"['能源材料', ['混凝土'], 0, 0, 0, '唯一dict']",能源材料,['混凝土'],0,0,唯一dict,1,['混凝土'],"['建材服务', ['混凝土'], 0, 0, '唯一dict']",建材服务,['混凝土'],0,0,唯一dict,1,B2B,1
87,纸箱,建材服务,能源材料,B2B,['纸箱'],"['能源材料', ['纸箱'], 0, 0, 0, '唯一dict']",能源材料,['纸箱'],0,0,唯一dict,1,['纸箱'],"['建材服务', ['纸箱'], 0, 0, '唯一dict']",建材服务,['纸箱'],0,0,唯一dict,1,B2B,1
88,漏粪板,建材服务,能源材料,B2B,['漏粪板'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['漏粪板'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
89,帆布袋,建材服务,能源材料,B2B,['帆布袋'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,0,['帆布袋'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,0,999,0
